SGB_id type
SGB_291 kSGB
SGB_292 kSGB
SGB_293 kSGB
SGB_294 kSGB
SGB_295 kSGB
SGB_296 kSGB
SGB_297 kSGB
SGB_298 kSGB
SGB_299 kSGB
SGB_300 kSGB
SGB_301 kSGB
SGB_302 kSGB
SGB_303 kSGB
SGB_304 kSGB
SGB_305 kSGB
SGB_306 kSGB
SGB_307 kSGB
SGB_308 kSGB
SGB_309 kSGB
SGB_310 kSGB
SGB_311 kSGB
SGB_312 kSGB
SGB_313 kSGB
SGB_314 kSGB
SGB_315 kSGB
SGB_316 kSGB
SGB_317 kSGB
SGB_318 kSGB
SGB_319 kSGB
SGB_320 kSGB
SGB_321 kSGB
SGB_322 kSGB
SGB_323 kSGB
SGB_324 kSGB
SGB_325 kSGB
SGB_326 kSGB
SGB_327 kSGB
SGB_328 kSGB
SGB_329 kSGB
SGB_330 kSGB
SGB_331 kSGB
SGB_332 kSGB
SGB_333 kSGB
SGB_334 kSGB
SGB_335 kSGB
SGB_336 kSGB
SGB_337 kSGB
SGB_338 kSGB
SGB_339 kSGB
SGB_340 kSGB
SGB_341 kSGB
SGB_342 kSGB
SGB_343 kSGB
SGB_344 kSGB
SGB_345 kSGB
SGB_346 kSGB
SGB_347 kSGB
SGB_348 kSGB
SGB_349 kSGB
SGB_350 kSGB
SGB_351 kSGB
SGB_352 kSGB
SGB_353 kSGB
SGB_354 kSGB
SGB_355 kSGB
SGB_356 kSGB
SGB_357 kSGB
SGB_358 kSGB
SGB_359 kSGB
SGB_360 kSGB
SGB_361 kSGB
SGB_362 kSGB
SGB_363 kSGB
SGB_364 kSGB
SGB_365 kSGB
SGB_366 kSGB
SGB_367 kSGB
SGB_368 kSGB
SGB_369 kSGB
SGB_370 kSGB
SGB_371 kSGB
SGB_372 kSGB
SGB_373 kSGB
SGB_374 kSGB
SGB_375 kSGB
SGB_376 kSGB
SGB_377 kSGB
SGB_378 kSGB
SGB_379 kSGB
SGB_380 kSGB
SGB_381 kSGB
SGB_382 kSGB
SGB_383 kSGB
SGB_384 kSGB
SGB_385 kSGB
SGB_386 kSGB
SGB_387 kSGB
SGB_388 kSGB
SGB_389 kSGB
SGB_390 kSGB
SGB_391 kSGB
SGB_392 kSGB
SGB_393 kSGB
SGB_394 kSGB
SGB_395 kSGB
SGB_396 kSGB
SGB_397 kSGB
SGB_398 kSGB
SGB_399 kSGB
SGB_400 kSGB
SGB_401 kSGB
SGB_402 kSGB
SGB_403 kSGB
SGB_404 kSGB
SGB_405 kSGB
SGB_406 kSGB
SGB_407 kSGB
SGB_408 kSGB
SGB_409 kSGB
SGB_410 kSGB
SGB_411 kSGB
SGB_412 kSGB
SGB_413 kSGB
SGB_414 kSGB
SGB_415 kSGB
SGB_416 kSGB
SGB_417 kSGB
SGB_418 kSGB
SGB_419 kSGB
SGB_420 kSGB
SGB_421 kSGB
SGB_422 kSGB
SGB_423 kSGB
SGB_424 kSGB
SGB_425 kSGB
SGB_426 kSGB
SGB_427 kSGB
SGB_428 kSGB
SGB_429 kSGB
SGB_430 kSGB
SGB_431 kSGB
SGB_432 kSGB
SGB_433 kSGB
SGB_434 kSGB
SGB_435 kSGB
SGB_436 kSGB
SGB_437 kSGB
SGB_438 kSGB
SGB_439 kSGB
SGB_440 kSGB
SGB_441 kSGB
SGB_442 kSGB
SGB_443 kSGB
SGB_444 kSGB
SGB_445 kSGB
SGB_446 kSGB
SGB_447 kSGB
SGB_448 kSGB
SGB_449 kSGB
SGB_450 kSGB
SGB_451 kSGB
SGB_452 kSGB
SGB_453 kSGB
SGB_454 kSGB
SGB_455 kSGB
SGB_456 kSGB
SGB_457 kSGB
SGB_458 kSGB
SGB_459 kSGB
SGB_460 kSGB
SGB_461 kSGB
SGB_462 kSGB
SGB_463 kSGB
SGB_464 kSGB
SGB_465 kSGB
SGB_466 kSGB
SGB_467 kSGB
SGB_468 kSGB
SGB_469 kSGB
SGB_470 kSGB
SGB_471 kSGB
SGB_472 kSGB
SGB_473 kSGB
SGB_474 kSGB
SGB_475 kSGB
SGB_476 kSGB
SGB_477 kSGB
SGB_478 kSGB
SGB_479 kSGB
SGB_480 kSGB
SGB_481 kSGB
SGB_482 kSGB
SGB_483 kSGB
SGB_484 kSGB
SGB_485 kSGB
SGB_486 kSGB
SGB_487 kSGB
SGB_488 kSGB
SGB_489 kSGB
SGB_490 kSGB
SGB_491 kSGB
SGB_492 kSGB
SGB_493 kSGB
SGB_494 kSGB
SGB_495 kSGB
SGB_496 kSGB
SGB_497 kSGB
SGB_498 kSGB
SGB_499 kSGB
SGB_500 kSGB
SGB_501 kSGB
SGB_502 kSGB
SGB_503 kSGB
SGB_504 kSGB
SGB_505 kSGB
SGB_506 kSGB
SGB_507 kSGB
SGB_508 kSGB
SGB_509 kSGB
SGB_510 kSGB
SGB_511 kSGB
SGB_512 kSGB
SGB_513 kSGB
SGB_514 kSGB
SGB_515 kSGB
SGB_516 kSGB
SGB_517 kSGB
SGB_518 kSGB
SGB_519 kSGB
SGB_520 kSGB
SGB_521 kSGB
SGB_522 kSGB
SGB_523 kSGB
SGB_524 kSGB
SGB_525 kSGB
SGB_526 kSGB
SGB_527 kSGB
SGB_528 kSGB
SGB_529 kSGB
SGB_530 kSGB
SGB_531 kSGB
SGB_532 kSGB
SGB_533 kSGB
SGB_534 kSGB
SGB_535 kSGB
SGB_536 kSGB
SGB_537 kSGB
SGB_538 kSGB
SGB_539 kSGB
SGB_540 kSGB
SGB_541 kSGB
SGB_542 kSGB
SGB_543 kSGB
SGB_544 kSGB
SGB_545 kSGB
SGB_546 kSGB
SGB_547 kSGB
SGB_548 kSGB
SGB_549 kSGB
SGB_550 kSGB
SGB_551 kSGB
SGB_552 kSGB
SGB_553 kSGB
SGB_554 kSGB
SGB_555 kSGB
SGB_556 kSGB
SGB_557 kSGB
SGB_558 kSGB
SGB_559 kSGB
SGB_560 kSGB
SGB_561 kSGB
SGB_562 kSGB
SGB_563 kSGB
SGB_564 kSGB
SGB_565 kSGB
SGB_566 kSGB
SGB_567 kSGB
SGB_568 kSGB
SGB_569 kSGB
SGB_570 kSGB
SGB_571 kSGB
SGB_572 kSGB
SGB_573 kSGB
SGB_574 kSGB
SGB_575 kSGB
SGB_576 kSGB
SGB_577 kSGB
SGB_578 kSGB
SGB_579 kSGB
SGB_580 kSGB
SGB_581 kSGB
SGB_582 kSGB
SGB_583 kSGB
SGB_584 kSGB
SGB_585 kSGB
SGB_586 kSGB
SGB_587 kSGB
SGB_588 kSGB
SGB_589 kSGB
SGB_590 kSGB
SGB_591 kSGB
SGB_592 kSGB
SGB_593 kSGB
SGB_594 kSGB
SGB_595 kSGB
SGB_596 kSGB
SGB_597 kSGB
SGB_598 kSGB
SGB_599 kSGB
SGB_600 kSGB
SGB_601 kSGB
SGB_602 kSGB
SGB_603 kSGB
SGB_604 kSGB
SGB_605 kSGB
SGB_606 kSGB
SGB_607 kSGB
SGB_608 kSGB
SGB_609 kSGB
SGB_610 kSGB
SGB_611 kSGB
SGB_612 kSGB
SGB_613 kSGB
SGB_614 kSGB
SGB_615 kSGB
SGB_616 kSGB
SGB_617 kSGB
SGB_618 kSGB
SGB_619 kSGB
SGB_620 kSGB
SGB_621 kSGB
SGB_622 kSGB
SGB_623 kSGB
SGB_624 kSGB
SGB_625 kSGB
SGB_626 kSGB
SGB_627 kSGB
SGB_628 kSGB
SGB_629 kSGB
SGB_630 kSGB
SGB_631 kSGB
SGB_632 kSGB
SGB_633 kSGB
SGB_634 kSGB
SGB_635 kSGB
SGB_636 kSGB
SGB_637 kSGB
SGB_638 kSGB
SGB_639 kSGB
SGB_640 kSGB
SGB_641 kSGB
SGB_642 kSGB
SGB_643 kSGB
SGB_644 kSGB
SGB_645 kSGB
SGB_646 kSGB
SGB_647 kSGB
SGB_648 kSGB
SGB_649 kSGB
SGB_650 kSGB
SGB_651 kSGB
SGB_652 kSGB
SGB_653 kSGB
SGB_654 kSGB
SGB_655 kSGB
SGB_656 kSGB
SGB_657 kSGB
SGB_658 kSGB
SGB_659 kSGB
SGB_660 kSGB
SGB_661 kSGB
SGB_662 kSGB
SGB_663 kSGB
SGB_664 kSGB
SGB_665 kSGB
SGB_666 kSGB
SGB_667 kSGB
SGB_668 kSGB
SGB_669 kSGB
SGB_670 kSGB
SGB_671 kSGB
SGB_672 kSGB
SGB_673 kSGB
SGB_674 kSGB
SGB_675 kSGB
SGB_676 kSGB
SGB_677 kSGB
SGB_678 kSGB
SGB_679 kSGB
SGB_680 kSGB
SGB_681 kSGB
SGB_682 kSGB
SGB_683 kSGB
SGB_684 kSGB
