	mgs_1001	mgs_2141	mgs_1640	mgs_1776	mgs_1516	mgs_1490	mgs_2021	mgs_1788	mgs_2790	mgs_2766	mgs_2064
mgs_1001	0.9779949382615243	0.9438782284761463	0.9370495751048761	0.9297735886587418	0.8973163431161332	0.8951769236370413	0.8779846346189968	0.8768602191374751	0.8769124164318799	0.8144002065552652	0.8133653236696081
mgs_2141	0.9438782284761463	1.0	0.9272617156025817	0.9290163777649769	0.8890666808904817	0.8838977301243023	0.8702822157496614	0.8729639116876973	0.8740799169389979	0.8147781172815484	0.8152943832177594
mgs_1640	0.9370495751048762	0.9272617156025817	0.971283446838688	0.9276464792528035	0.8906484389654459	0.8903897904368296	0.8871337909320768	0.8812048567982691	0.8752746088614419	0.812911732636682	0.8134107622131763
mgs_1776	0.9297735886587418	0.9290163777649769	0.9276464792528035	1.0	0.887079530276502	0.8879728211840439	0.8846995487486893	0.8784147613700168	0.8743521301006552	0.8154686120349199	0.8140179341588645
mgs_1516	0.8973163431161332	0.8890666808904817	0.8906484389654459	0.887079530276502	1.0	0.910436099807882	0.9045252430900229	0.9045744863717176	0.9064401162823483	0.8130528429198429	0.8163956771363226
mgs_1490	0.8951769236370413	0.8838977301243023	0.8903897904368294	0.8879728211840439	0.910436099807882	0.9641358378535361	0.9287013513349123	0.9282655959447337	0.8979145908922816	0.8158392793929621	0.8169848665127432
mgs_2021	0.8779846346189968	0.8702822157496614	0.8871337909320768	0.8846995487486893	0.9045252430900229	0.9287013513349123	1.0	0.9340114646324549	0.9001054285871739	0.8121917209383753	0.814888453421361
mgs_1788	0.8768602191374751	0.8729639116876973	0.8812048567982691	0.8784147613700168	0.9045744863717176	0.9282655959447337	0.9340114646324549	1.0	0.9024444735402043	0.8140387931891859	0.8151695428243588
mgs_2790	0.8769124164318799	0.8740799169389979	0.8752746088614419	0.8743521301006552	0.9064401162823483	0.8979145908922816	0.9001054285871739	0.9024444735402043	1.0	0.8161840873445063	0.8137162719988866
mgs_2766	0.8144002065552652	0.8147781172815484	0.812911732636682	0.8154686120349199	0.8130528429198429	0.8158392793929621	0.8121917209383753	0.8140387931891859	0.8161840873445063	1.0	0.9371616716175089
mgs_2064	0.8133653236696081	0.8152943832177594	0.8134107622131763	0.8140179341588645	0.8163956771363226	0.8169848665127432	0.814888453421361	0.8151695428243588	0.8137162719988866	0.9371616716175089	1.0
