sample_id	MAGs(HQ&MQ)	uMAGs	kMAGs	studys	country	oral_site
RSZYD18078667	5	0	5	4D_SZ	China	saliva
RSZYD18078320	17	1	16	4D_SZ	China	saliva
RDPYD18300188	6	1	5	4D_SZ	China	saliva
SRR8114055	17	3	14	Heintz_2016	Luxembourg	saliva
RDPYD18300267	18	2	16	4D_SZ	China	saliva
ERR2764913	4	0	4	ZellerG_2014	France	saliva
RSZYD18078272	17	2	15	4D_SZ	China	saliva
YS000724	13	3	10	Yunnan	China	saliva
RSZYD18088554	19	4	15	4D_SZ	China	tongue
RSZYD18187270	16	1	15	4D_SZ	China	saliva
ERR589459	15	2	13	ZhangX_2015	China	saliva
RSZYD18187470	4	1	3	4D_SZ	China	saliva
YS000597	4	1	3	Yunnan	China	saliva
RSZYD18187501	5	0	5	4D_SZ	China	saliva
RSZYD18187797	22	4	18	4D_SZ	China	saliva
RSZYD18078543	8	2	6	4D_SZ	China	saliva
RSZYD18078533	8	1	7	4D_SZ	China	saliva
RDPYD18089298	39	10	29	4D_SZ	China	tongue
RDPYD18088928	25	2	23	4D_SZ	China	tongue
ERR589690	20	1	19	ZhangX_2015	China	saliva
RSZYD18078689	15	2	13	4D_SZ	China	saliva
RSZYD18187475	7	0	7	4D_SZ	China	saliva
RSZYD18187508	12	1	11	4D_SZ	China	saliva
RDPYD18088847	16	5	11	4D_SZ	China	saliva
RSZYD18078659	11	2	9	4D_SZ	China	saliva
RSZYD18078521	22	1	21	4D_SZ	China	saliva
RDPYD18300383	22	0	22	4D_SZ	China	saliva
RDPYD18300135	5	0	5	4D_SZ	China	saliva
RDPYD18088976	7	1	6	4D_SZ	China	saliva
RSZYD18078705	6	0	6	4D_SZ	China	saliva
YS000243	10	2	8	Yunnan	China	saliva
RDPYD18088966	11	0	11	4D_SZ	China	saliva
ERR2764889	4	1	3	ZellerG_2014	France	saliva
ERR2764858	6	0	6	ZellerG_2014	France	saliva
YS000540	8	1	7	Yunnan	China	saliva
RDPYD18089016	34	3	31	4D_SZ	China	tongue
RSZYD18078457	12	1	11	4D_SZ	China	saliva
RDPYD18088845	19	1	18	4D_SZ	China	saliva
RDPYD18300160	9	0	9	4D_SZ	China	saliva
YS001006	13	1	12	Yunnan	China	saliva
RSZYD18187227	24	4	20	4D_SZ	China	saliva
RSZYD18187234	31	3	28	4D_SZ	China	saliva
SRR6748100	6	1	5	GoltsmanDSA_2018	USA	saliva
RDPYD18088959	4	0	4	4D_SZ	China	saliva
RDPYD18088853	2	0	2	4D_SZ	China	saliva
RDPYD18089365	41	5	36	4D_SZ	China	tongue
RDPYD18189818	4	0	4	4D_SZ	China	saliva
RSZYD18078393	20	3	17	4D_SZ	China	saliva
RDPYD18300052	7	1	6	4D_SZ	China	saliva
RDPYD18088869	26	5	21	4D_SZ	China	tongue
ERR589488	23	3	20	ZhangX_2015	China	saliva
RSZYD18078478	13	2	11	4D_SZ	China	saliva
RDPYD18093611	37	6	31	4D_SZ	China	tongue
RSZYD18078276	11	2	9	4D_SZ	China	saliva
RSZYD18078694	10	2	8	4D_SZ	China	saliva
SRR6748204	3	0	3	GoltsmanDSA_2018	USA	saliva
YS000169	3	2	1	Yunnan	China	saliva
SRR8114067	13	2	11	Heintz_2016	Luxembourg	saliva
SRR8114064	18	2	16	Heintz_2016	Luxembourg	saliva
YS000673	12	3	9	Yunnan	China	saliva
RSZYD18187345	13	2	11	4D_SZ	China	saliva
RSZYD18187913	6	0	6	4D_SZ	China	saliva
RDPYD18300312	17	2	15	4D_SZ	China	saliva
ERR2764831	4	0	4	ZellerG_2014	Germany	saliva
RDPYD18189838	5	0	5	4D_SZ	China	saliva
ERR589353	33	4	29	ZhangX_2015	China	dental
RDPYD18189821	20	4	16	4D_SZ	China	saliva
RSZYD18078759	18	2	16	4D_SZ	China	saliva
RSZYD18187842	24	2	22	4D_SZ	China	saliva
RSZYD18187402	22	2	20	4D_SZ	China	saliva
RSZYD18187018	24	4	20	4D_SZ	China	saliva
RSZYD18078754	13	4	9	4D_SZ	China	saliva
RSZYD18078618	4	1	3	4D_SZ	China	saliva
RSZYD18078321	10	2	8	4D_SZ	China	saliva
RDPYD18300385	28	6	22	4D_SZ	China	saliva
ERR2764943	3	0	3	ZellerG_2014	France	saliva
YS001020	5	0	5	Yunnan	China	saliva
RSZYD18187460	10	1	9	4D_SZ	China	saliva
RSZYD18187593	18	2	16	4D_SZ	China	saliva
YS001102	12	0	12	Yunnan	China	saliva
RDPYD18300187	11	1	10	4D_SZ	China	saliva
RDPYD18189992	3	1	2	4D_SZ	China	saliva
ERR2764848	1	1	0	ZellerG_2014	France	saliva
RSZYD18078390	8	1	7	4D_SZ	China	saliva
RSZYD18187420	6	0	6	4D_SZ	China	saliva
RDPYD18189975	3	1	2	4D_SZ	China	saliva
RSZYD18078691	32	4	28	4D_SZ	China	saliva
RSZYD18078661	1	0	1	4D_SZ	China	saliva
RDPYD18300241	4	0	4	4D_SZ	China	saliva
RSZYD18078362	9	1	8	4D_SZ	China	saliva
RSZYD18187315	20	3	17	4D_SZ	China	saliva
SRS475983	1	0	1	IlanaB_2019	Fiji	saliva
RSZYD18078327	6	1	5	4D_SZ	China	saliva
YS000007	9	3	6	Yunnan	China	saliva
RSZYD18187925	10	2	8	4D_SZ	China	saliva
YS000319	12	0	12	Yunnan	China	saliva
SRR8114094	14	1	13	Heintz_2016	Luxembourg	saliva
YS000154	15	1	14	Yunnan	China	saliva
ERR589683	9	2	7	ZhangX_2015	China	saliva
RDPYD18189903	35	6	29	4D_SZ	China	saliva
RSZYD18187506	6	1	5	4D_SZ	China	saliva
RSZYD18078664	10	1	9	4D_SZ	China	saliva
RSZYD18187447	19	3	16	4D_SZ	China	saliva
YS000431	2	2	0	Yunnan	China	saliva
YS000487	20	4	16	Yunnan	China	saliva
RSZYD18187875	17	2	15	4D_SZ	China	saliva
RDPYD18093598	5	0	5	4D_SZ	China	saliva
RDPYD18089227	39	7	32	4D_SZ	China	tongue
RDPYD18079677	35	7	28	4D_SZ	China	tongue
RDPYD18088793	12	2	10	4D_SZ	China	saliva
ERR589526	9	1	8	ZhangX_2015	China	saliva
RDPYD18189924	12	1	11	4D_SZ	China	saliva
RDPYD18300297	8	1	7	4D_SZ	China	saliva
RDPYD18189858	32	6	26	4D_SZ	China	saliva
RDPYD18088810	12	2	10	4D_SZ	China	saliva
RSZYD18078682	1	0	1	4D_SZ	China	saliva
RDPYD18088828	24	2	22	4D_SZ	China	saliva
RDPYD18088933	33	3	30	4D_SZ	China	tongue
YS000056	5	1	4	Yunnan	China	saliva
RSZYD18187448	15	2	13	4D_SZ	China	saliva
RSZYD18078270	26	3	23	4D_SZ	China	saliva
RSZYD18078018	6	2	4	4D_SZ	China	saliva
RSZYD18078125	12	5	7	4D_SZ	China	saliva
YS000292	5	1	4	Yunnan	China	saliva
RSZYD18078082	6	1	5	4D_SZ	China	saliva
RSZYD18187662	5	2	3	4D_SZ	China	saliva
RDPYD18300254	4	0	4	4D_SZ	China	saliva
ERR589399	9	1	8	ZhangX_2015	China	saliva
SRS476171	1	0	1	IlanaB_2019	Fiji	saliva
RSZYD18187730	7	1	6	4D_SZ	China	saliva
RSZYD18187545	3	0	3	4D_SZ	China	saliva
RSZYD18187194	5	0	5	4D_SZ	China	saliva
RDPYD18088877	14	2	12	4D_SZ	China	tongue
RSZYD18187641	14	2	12	4D_SZ	China	saliva
SRS476054	2	1	1	IlanaB_2019	Fiji	saliva
ERR589380	46	13	33	ZhangX_2015	China	dental
RSZYD18187918	25	5	20	4D_SZ	China	saliva
RSZYD18078681	21	2	19	4D_SZ	China	saliva
ERR589710	23	4	19	ZhangX_2015	China	saliva
YS000518	15	1	14	Yunnan	China	saliva
RDPYD18079674	24	4	20	4D_SZ	China	tongue
RSZYD18187786	2	0	2	4D_SZ	China	saliva
RDPYD18300023	14	2	12	4D_SZ	China	saliva
RDPYD18088791	15	0	15	4D_SZ	China	saliva
RSZYD18187282	13	2	11	4D_SZ	China	saliva
RSZYD18078612	2	1	1	4D_SZ	China	saliva
ERR589519	11	2	9	ZhangX_2015	China	saliva
YS000426	14	3	11	Yunnan	China	saliva
RDPYD18089301	24	3	21	4D_SZ	China	tongue
RSZYD18187148	8	0	8	4D_SZ	China	saliva
SRS475960	3	0	3	IlanaB_2019	Fiji	saliva
RSZYD18187332	3	0	3	4D_SZ	China	saliva
YS000587	22	1	21	Yunnan	China	saliva
YS001153	4	0	4	Yunnan	China	saliva
YS000127	12	1	11	Yunnan	China	saliva
RDPYD18088819	11	2	9	4D_SZ	China	saliva
ERR589698	17	2	15	ZhangX_2015	China	saliva
ERR589599	46	9	37	ZhangX_2015	China	dental
RDPYD18093608	27	4	23	4D_SZ	China	tongue
RSZYD18187309	32	4	28	4D_SZ	China	saliva
RSZYD18187462	15	3	12	4D_SZ	China	saliva
RDPYD18189899	5	1	4	4D_SZ	China	saliva
RSZYD18187805	12	2	10	4D_SZ	China	saliva
RSZYD18187458	18	0	18	4D_SZ	China	saliva
RSZYD18078189	16	1	15	4D_SZ	China	saliva
RSZYD18187513	8	2	6	4D_SZ	China	saliva
ERR2764933	2	0	2	ZellerG_2014	France	saliva
RSZYD18078157	13	1	12	4D_SZ	China	saliva
YS000030	1	1	0	Yunnan	China	saliva
YS000033	16	1	15	Yunnan	China	saliva
RDPYD18189879	26	5	21	4D_SZ	China	saliva
RDPYD18189909	31	4	27	4D_SZ	China	saliva
RSZYD18078469	12	2	10	4D_SZ	China	saliva
RDPYD18089312	16	1	15	4D_SZ	China	tongue
RSZYD18187983	12	2	10	4D_SZ	China	saliva
RSZYD18078742	6	1	5	4D_SZ	China	saliva
RSZYD18187536	1	0	1	4D_SZ	China	saliva
RDPYD18089006	26	2	24	4D_SZ	China	tongue
RSZYD18187425	18	5	13	4D_SZ	China	saliva
SRR6748078	4	0	4	GoltsmanDSA_2018	USA	saliva
RSZYD18078284	6	1	5	4D_SZ	China	saliva
RDPYD18300129	15	1	14	4D_SZ	China	saliva
RSZYD18187782	13	1	12	4D_SZ	China	saliva
RSZYD18187297	8	2	6	4D_SZ	China	saliva
RSZYD18078172	32	8	24	4D_SZ	China	saliva
RDPYD18300314	6	2	4	4D_SZ	China	saliva
RSZYD18078319	21	1	20	4D_SZ	China	saliva
RSZYD18187348	5	1	4	4D_SZ	China	saliva
RSZYD18187417	2	0	2	4D_SZ	China	saliva
RDPYD18088822	4	0	4	4D_SZ	China	saliva
YS000472	17	2	15	Yunnan	China	saliva
RSZYD18187890	21	4	17	4D_SZ	China	saliva
ERR589364	33	5	28	ZhangX_2015	China	dental
RSZYD18187851	8	0	8	4D_SZ	China	saliva
RDPYD18190842	25	3	22	4D_SZ	China	tongue
RDPYD18189869	36	4	32	4D_SZ	China	saliva
RDPYD18300055	11	2	9	4D_SZ	China	saliva
RSZYD18078128	1	0	1	4D_SZ	China	saliva
RSZYD18187268	3	0	3	4D_SZ	China	saliva
RDPYD18300132	10	2	8	4D_SZ	China	saliva
RSZYD18078486	14	3	11	4D_SZ	China	saliva
SRR8114080	6	3	3	Heintz_2016	Luxembourg	saliva
ERR589475	31	4	27	ZhangX_2015	China	dental
ERR589689	7	2	5	ZhangX_2015	China	saliva
RDPYD18300045	16	3	13	4D_SZ	China	saliva
RDPYD18300253	1	0	1	4D_SZ	China	saliva
YS000533	5	0	5	Yunnan	China	saliva
ERR589496	25	3	22	ZhangX_2015	China	saliva
RSZYD18078092	14	0	14	4D_SZ	China	saliva
ERR2765006	6	0	6	ZellerG_2014	France	saliva
RSZYD18078538	20	2	18	4D_SZ	China	saliva
RDPYD18088917	18	1	17	4D_SZ	China	tongue
RDPYD18300247	34	8	26	4D_SZ	China	saliva
RSZYD18078473	28	0	28	4D_SZ	China	saliva
YS000460	7	1	6	Yunnan	China	saliva
RSZYD18078200	8	1	7	4D_SZ	China	saliva
RSZYD18078150	8	1	7	4D_SZ	China	saliva
ERR589625	37	9	28	ZhangX_2015	China	dental
SRS476012	3	0	3	IlanaB_2019	Fiji	saliva
RSZYD18187601	13	0	13	4D_SZ	China	saliva
RSZYD18078553	3	0	3	4D_SZ	China	saliva
RSZYD18078786	30	3	27	4D_SZ	China	saliva
RDPYD18189852	14	0	14	4D_SZ	China	saliva
RDPYD18075181	40	4	36	4D_SZ	China	saliva
RDPYD18189823	25	3	22	4D_SZ	China	saliva
YS000481	12	2	10	Yunnan	China	saliva
YS000315	4	0	4	Yunnan	China	saliva
ERR589465	21	4	17	ZhangX_2015	China	saliva
RSZYD18078219	18	2	16	4D_SZ	China	saliva
RSZYD18187806	11	1	10	4D_SZ	China	saliva
RSZYD18187280	24	2	22	4D_SZ	China	saliva
RDPYD18189966	25	4	21	4D_SZ	China	saliva
RSZYD18078228	19	2	17	4D_SZ	China	saliva
RSZYD18187495	6	1	5	4D_SZ	China	saliva
RSZYD18078314	2	0	2	4D_SZ	China	saliva
YS000270	24	4	20	Yunnan	China	saliva
RSZYD18187528	10	1	9	4D_SZ	China	saliva
SRS476072	1	0	1	IlanaB_2019	Fiji	saliva
YS000743	1	0	1	Yunnan	China	saliva
RDPYD18300197	12	0	12	4D_SZ	China	saliva
ERR589668	19	1	18	ZhangX_2015	China	saliva
RDPYD18189991	7	1	6	4D_SZ	China	saliva
SRR8114033	12	0	12	Heintz_2016	Luxembourg	saliva
RDPYD18093609	23	4	19	4D_SZ	China	tongue
RSZYD18078236	22	3	19	4D_SZ	China	saliva
YS000167	9	0	9	Yunnan	China	saliva
YS000662	11	2	9	Yunnan	China	saliva
RSZYD18187390	20	6	14	4D_SZ	China	saliva
RDPYD18300407	11	0	11	4D_SZ	China	saliva
YS000135	13	0	13	Yunnan	China	saliva
YS000331	3	1	2	Yunnan	China	saliva
RSZYD18187783	11	2	9	4D_SZ	China	saliva
RDPYD18300017	12	1	11	4D_SZ	China	saliva
RSZYD18078771	7	2	5	4D_SZ	China	saliva
ERR2764840	11	1	10	ZellerG_2014	Germany	saliva
ERR589633	28	8	20	ZhangX_2015	China	dental
ERR589619	30	8	22	ZhangX_2015	China	dental
RSZYD18187539	28	2	26	4D_SZ	China	saliva
RSZYD18078412	12	1	11	4D_SZ	China	saliva
YS000462	13	2	11	Yunnan	China	saliva
RSZYD18187396	18	2	16	4D_SZ	China	saliva
RSZYD18187300	2	0	2	4D_SZ	China	saliva
RDPYD18088813	27	4	23	4D_SZ	China	saliva
ERR2764963	6	0	6	ZellerG_2014	France	saliva
RDPYD18079672	33	8	25	4D_SZ	China	tongue
RDPYD18089243	21	3	18	4D_SZ	China	tongue
YS000931	7	1	6	Yunnan	China	saliva
RSZYD18187050	20	3	17	4D_SZ	China	saliva
RSZYD18078785	12	2	10	4D_SZ	China	saliva
RDPYD18189831	8	2	6	4D_SZ	China	saliva
RSZYD18187039	13	1	12	4D_SZ	China	saliva
YS000661	1	0	1	Yunnan	China	saliva
RSZYD18187083	21	1	20	4D_SZ	China	saliva
RDPYD18189981	10	2	8	4D_SZ	China	saliva
RSZYD18187266	25	3	22	4D_SZ	China	saliva
RSZYD18078688	22	5	17	4D_SZ	China	saliva
RSZYD18078622	9	2	7	4D_SZ	China	saliva
RSZYD18187600	13	3	10	4D_SZ	China	saliva
ERR2764853	6	0	6	ZellerG_2014	France	saliva
RSZYD18187665	14	1	13	4D_SZ	China	saliva
YS001131	2	0	2	Yunnan	China	saliva
RDPYD18088988	13	2	11	4D_SZ	China	saliva
YS001121	8	1	7	Yunnan	China	saliva
RSZYD18187263	7	0	7	4D_SZ	China	saliva
RDPYD18189919	8	0	8	4D_SZ	China	saliva
RDPYD18089357	21	3	18	4D_SZ	China	tongue
ERR589401	4	1	3	ZhangX_2015	China	saliva
RSZYD18078096	24	1	23	4D_SZ	China	saliva
SRR6748068	1	0	1	GoltsmanDSA_2018	USA	saliva
RDPYD18079676	19	1	18	4D_SZ	China	tongue
RSZYD18078019	6	2	4	4D_SZ	China	saliva
YS000680	1	0	1	Yunnan	China	saliva
RDPYD18189929	3	0	3	4D_SZ	China	saliva
RDPYD18089352	21	2	19	4D_SZ	China	tongue
RDPYD18300084	28	1	27	4D_SZ	China	saliva
RSZYD18187323	1	0	1	4D_SZ	China	saliva
YS000373	13	1	12	Yunnan	China	saliva
ERR589354	25	9	16	ZhangX_2015	China	dental
SRR6748221	6	1	5	GoltsmanDSA_2018	USA	saliva
SRR6748073	1	0	1	GoltsmanDSA_2018	USA	saliva
SRR6748133	7	1	6	GoltsmanDSA_2018	USA	saliva
RDPYD18300276	3	0	3	4D_SZ	China	saliva
SRR6748229	6	0	6	GoltsmanDSA_2018	USA	saliva
RDPYD18189860	21	1	20	4D_SZ	China	saliva
ERR2764829	4	0	4	ZellerG_2014	Germany	saliva
YS000413	5	1	4	Yunnan	China	saliva
RDPYD18300141	17	1	16	4D_SZ	China	saliva
RSZYD18187220	27	3	24	4D_SZ	China	saliva
YS000133	10	2	8	Yunnan	China	saliva
RSZYD18187846	12	3	9	4D_SZ	China	saliva
YS000075	11	0	11	Yunnan	China	saliva
RSZYD18078583	8	0	8	4D_SZ	China	saliva
RSZYD18078135	30	3	27	4D_SZ	China	saliva
RDPYD18300003	13	3	10	4D_SZ	China	saliva
RDPYD18089032	30	2	28	4D_SZ	China	tongue
YS000592	17	2	15	Yunnan	China	saliva
RDPYD18089346	14	2	12	4D_SZ	China	tongue
SRR6748066	1	0	1	GoltsmanDSA_2018	USA	saliva
RSZYD18078741	22	2	20	4D_SZ	China	saliva
YS000477	4	1	3	Yunnan	China	saliva
RSZYD18187902	18	5	13	4D_SZ	China	saliva
RSZYD18187941	12	2	10	4D_SZ	China	saliva
YS000241	9	1	8	Yunnan	China	saliva
RDPYD18088806	11	1	10	4D_SZ	China	saliva
YS000179	6	1	5	Yunnan	China	saliva
ERR2764790	1	0	1	ZellerG_2014	Germany	saliva
RDPYD18093616	29	3	26	4D_SZ	China	tongue
YS000921	19	3	16	Yunnan	China	saliva
ERR2764946	4	1	3	ZellerG_2014	France	saliva
RDPYD18089233	13	1	12	4D_SZ	China	tongue
RSZYD18187533	9	2	7	4D_SZ	China	saliva
ERR2764877	4	0	4	ZellerG_2014	France	saliva
RSZYD18187607	12	0	12	4D_SZ	China	saliva
RSZYD18078770	18	2	16	4D_SZ	China	saliva
RSZYD18187377	30	3	27	4D_SZ	China	saliva
RDPYD18088985	25	3	22	4D_SZ	China	saliva
RSZYD18078212	13	0	13	4D_SZ	China	saliva
SRR6748198	7	3	4	GoltsmanDSA_2018	USA	saliva
RSZYD18078218	6	0	6	4D_SZ	China	saliva
RSZYD18078599	4	1	3	4D_SZ	China	saliva
ERR589421	28	3	25	ZhangX_2015	China	saliva
YS001093	1	1	0	Yunnan	China	saliva
RSZYD18187467	20	1	19	4D_SZ	China	saliva
RSZYD18187098	10	1	9	4D_SZ	China	saliva
RSZYD18187108	3	1	2	4D_SZ	China	saliva
YS000745	1	0	1	Yunnan	China	saliva
RDPYD18300178	14	2	12	4D_SZ	China	saliva
ERR589471	45	10	35	ZhangX_2015	China	dental
YS000226	13	2	11	Yunnan	China	saliva
RDPYD18300106	20	2	18	4D_SZ	China	saliva
RSZYD18078234	13	1	12	4D_SZ	China	saliva
RSZYD18078801	24	4	20	4D_SZ	China	saliva
RSZYD18187847	16	3	13	4D_SZ	China	saliva
RSZYD18187444	27	4	23	4D_SZ	China	saliva
RDPYD18089000	34	3	31	4D_SZ	China	tongue
ERR589642	28	2	26	ZhangX_2015	China	dental
RSZYD18187362	1	0	1	4D_SZ	China	saliva
RSZYD18078679	8	2	6	4D_SZ	China	saliva
RSZYD18187605	24	1	23	4D_SZ	China	saliva
RSZYD18078165	24	4	20	4D_SZ	China	saliva
ERR589620	23	4	19	ZhangX_2015	China	dental
RDPYD18190871	35	3	32	4D_SZ	China	tongue
YS000942	11	0	11	Yunnan	China	saliva
RSZYD18078318	9	1	8	4D_SZ	China	saliva
YS000271	15	2	13	Yunnan	China	saliva
RSZYD18187319	7	2	5	4D_SZ	China	saliva
RDPYD18089257	21	0	21	4D_SZ	China	tongue
ERR2764984	4	0	4	ZellerG_2014	France	saliva
YS000523	12	2	10	Yunnan	China	saliva
YS001050	7	1	6	Yunnan	China	saliva
RDPYD18300036	31	5	26	4D_SZ	China	saliva
YS000036	5	1	4	Yunnan	China	saliva
YS000686	12	2	10	Yunnan	China	saliva
RSZYD18187877	4	1	3	4D_SZ	China	saliva
RDPYD18300311	1	0	1	4D_SZ	China	saliva
YS000152	4	0	4	Yunnan	China	saliva
RDPYD18300271	8	1	7	4D_SZ	China	saliva
