sample_id	COG_id	gene_num
RDPYD18089315_A_togue.metaspades.bin.99	O	20
RDPYD18089315_A_togue.metaspades.bin.99	D	14
RDPYD18089315_A_togue.metaspades.bin.99	C	13
RDPYD18089315_A_togue.metaspades.bin.99	Z	1
RDPYD18089315_A_togue.metaspades.bin.99	nohit	134
RSZYD18187977_A_saliva.metaspades.bin.14	J	132
RSZYD18187977_A_saliva.metaspades.bin.14	E	20
RSZYD18187977_A_saliva.metaspades.bin.14	K	27
RSZYD18187977_A_saliva.metaspades.bin.14	L	60
RSZYD18187977_A_saliva.metaspades.bin.14	I	14
RSZYD18187977_A_saliva.metaspades.bin.14	F	25
RSZYD18187977_A_saliva.metaspades.bin.14	P	30
RSZYD18187977_A_saliva.metaspades.bin.14	V	15
RSZYD18187977_A_saliva.metaspades.bin.14	G	13
RSZYD18187977_A_saliva.metaspades.bin.14	M	9
RSZYD18187977_A_saliva.metaspades.bin.14	S	63
RSZYD18187977_A_saliva.metaspades.bin.14	U	8
RSZYD18187977_A_saliva.metaspades.bin.14	C	12
RSZYD18187977_A_saliva.metaspades.bin.14	T	6
RSZYD18187977_A_saliva.metaspades.bin.14	O	18
RSZYD18187977_A_saliva.metaspades.bin.14	D	10
RSZYD18187977_A_saliva.metaspades.bin.14	H	15
RSZYD18187977_A_saliva.metaspades.bin.14	N	1
RSZYD18187977_A_saliva.metaspades.bin.14	Q	6
RSZYD18187977_A_saliva.metaspades.bin.14	Z	1
RSZYD18187977_A_saliva.metaspades.bin.14	nohit	111
RSZYD18187390_A_saliva.metaspades.bin.24	J	129
RSZYD18187390_A_saliva.metaspades.bin.24	S	72
RSZYD18187390_A_saliva.metaspades.bin.24	L	60
RSZYD18187390_A_saliva.metaspades.bin.24	O	20
RSZYD18187390_A_saliva.metaspades.bin.24	H	19
RSZYD18187390_A_saliva.metaspades.bin.24	P	31
RSZYD18187390_A_saliva.metaspades.bin.24	T	6
RSZYD18187390_A_saliva.metaspades.bin.24	C	15
RSZYD18187390_A_saliva.metaspades.bin.24	I	14
RSZYD18187390_A_saliva.metaspades.bin.24	M	8
RSZYD18187390_A_saliva.metaspades.bin.24	V	11
RSZYD18187390_A_saliva.metaspades.bin.24	K	22
RSZYD18187390_A_saliva.metaspades.bin.24	E	20
RSZYD18187390_A_saliva.metaspades.bin.24	U	7
RSZYD18187390_A_saliva.metaspades.bin.24	F	24
RSZYD18187390_A_saliva.metaspades.bin.24	D	12
RSZYD18187390_A_saliva.metaspades.bin.24	G	15
RSZYD18187390_A_saliva.metaspades.bin.24	Q	6
RSZYD18187390_A_saliva.metaspades.bin.24	N	3
RSZYD18187390_A_saliva.metaspades.bin.24	Z	2
RSZYD18187390_A_saliva.metaspades.bin.24	nohit	127
RSZYD18187425_A_saliva.metaspades.bin.14	J	131
RSZYD18187425_A_saliva.metaspades.bin.14	G	13
RSZYD18187425_A_saliva.metaspades.bin.14	V	11
RSZYD18187425_A_saliva.metaspades.bin.14	L	62
RSZYD18187425_A_saliva.metaspades.bin.14	O	19
RSZYD18187425_A_saliva.metaspades.bin.14	S	70
RSZYD18187425_A_saliva.metaspades.bin.14	P	28
RSZYD18187425_A_saliva.metaspades.bin.14	E	18
RSZYD18187425_A_saliva.metaspades.bin.14	K	22
RSZYD18187425_A_saliva.metaspades.bin.14	N	5
RSZYD18187425_A_saliva.metaspades.bin.14	H	16
RSZYD18187425_A_saliva.metaspades.bin.14	Q	6
RSZYD18187425_A_saliva.metaspades.bin.14	I	14
RSZYD18187425_A_saliva.metaspades.bin.14	D	11
RSZYD18187425_A_saliva.metaspades.bin.14	C	13
RSZYD18187425_A_saliva.metaspades.bin.14	T	6
RSZYD18187425_A_saliva.metaspades.bin.14	U	8
RSZYD18187425_A_saliva.metaspades.bin.14	F	27
RSZYD18187425_A_saliva.metaspades.bin.14	Z	1
RSZYD18187425_A_saliva.metaspades.bin.14	M	11
RSZYD18187425_A_saliva.metaspades.bin.14	nohit	122
RDPYD18089232_A_togue.metaspades.bin.5	S	74
RDPYD18089232_A_togue.metaspades.bin.5	L	56
RDPYD18089232_A_togue.metaspades.bin.5	H	18
RDPYD18089232_A_togue.metaspades.bin.5	V	12
RDPYD18089232_A_togue.metaspades.bin.5	J	132
RDPYD18089232_A_togue.metaspades.bin.5	G	15
RDPYD18089232_A_togue.metaspades.bin.5	D	13
RDPYD18089232_A_togue.metaspades.bin.5	P	30
RDPYD18089232_A_togue.metaspades.bin.5	O	19
RDPYD18089232_A_togue.metaspades.bin.5	F	24
RDPYD18089232_A_togue.metaspades.bin.5	K	23
RDPYD18089232_A_togue.metaspades.bin.5	M	10
RDPYD18089232_A_togue.metaspades.bin.5	I	15
RDPYD18089232_A_togue.metaspades.bin.5	E	20
RDPYD18089232_A_togue.metaspades.bin.5	N	2
RDPYD18089232_A_togue.metaspades.bin.5	U	7
RDPYD18089232_A_togue.metaspades.bin.5	C	13
RDPYD18089232_A_togue.metaspades.bin.5	Q	6
